ui_activate|Активировать
ui_trialmode_online|В настоящее время Mount&&Blade работает в пробном режиме. Вы можете свободно играть до достижения персонажем 7 уровня. Если вы уже приобрели игру, то введите свой серийный номер. Приобретение лицензии онлайн занимает несколько минут и открывает полный режим.
ui_trialmode|Выполните активацию Mount&&Blade с помощью серийного номера. Ваш индивидуальный, 16-значный серийный номер содержится внутри коробочной копии игры.\nЕсли по какой-либо причине вы не желаете активировать игру сейчас, то можете продолжить играть в пробном режиме, до достижения вашим персонажем 8 уровня.
ui_trialmode2_online|После приобретения лицензии, вы получите свой серийный номер.\nПриступить к открытию полного режима...
ui_trialmode2|Чтобы активировать игру сейчас...
ui_trialmode3_online|Или, если не хотите приобретать игру можете...
ui_trialmode3|Или можете также...
ui_trialmode4_online|Если вам хочется узнать больше о нашей политике продаж, то взгляните на:
ui_trialmode4|Если у вас есть какой-либо вопрос о процессе активации, вы можете прочитать...
ui_use_desktop_resolution|Разрешение раб.стола
ui_video|Графика
ui_yes2|Да
